,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000627.74600479,113000725.7321123,113000800.01463026,113000857.29758175,113000902.31068729,113000619.36943445,113000718.5907486,113000794.30200587,113000852.98006357,113000899.27621672,113000611.51438846,113000711.68102285,113000788.5547836,113000848.39669028,113000895.77747741,113000604.16562688,113000705.06383757,113000782.89897922,113000843.7281152,113000892.0413394,113000597.29031913,113000698.75843859,113000777.3989849,113000839.07675835,113000888.2023402,113000590.85019551,113000692.76339747,113000772.08578968,113000834.50106157,113000884.34211186,113000584.80693305,113000687.06718495,113000766.97181389,113000830.03385851,113000880.51075746,113000579.1244543,113000681.65366422,113000762.05903704,113000825.69268203,113000876.73900084,113000573.7697836,113000676.50499213,113000757.3435951,113000821.48576333,113000873.04536451,113000568.71322656,113000671.60315171,113000752.81844288,113000817.41562802,113000869.4405484,113000563.92824143,113000666.93074393,113000748.47492039,113000813.48130354,113000865.93017334,113000559.3911819,113000662.47137198,113000744.3036816,113000809.67969953,113000862.51653834,113000555.08099915,113000658.20980006,113000740.29524428,113000806.00648285,113000859.19976729,113000550.9789456,113000654.13198818,113000736.44031103,113000802.45663764,113000855.97856835,113000547.06829867,113000650.2250602,113000732.72995043,113000799.02482495,113000852.85074267
1,2020-04-02,112999700.58015254,112999890.82183827,113000044.22238667,113000168.24711671,113000269.36273584,112999685.34376302,112999876.84614676,113000032.3989578,113000158.91410492,113000262.57411139,112999671.1267104,112999863.38464163,113000020.54893644,113000149.03612307,113000254.76432247,112999657.88750131,112999850.54879521,113000008.93122813,113000139.00583164,113000246.44521725,112999645.5547088,112999838.36814815,112999997.67502491,113000129.04381068,113000237.91914898,112999634.04912268,112999826.83238202,112999986.83972348,113000119.27415152,113000229.36840123,112999623.2932877,112999815.91233703,112999976.44633412,113000109.76501232,113000220.90380065,112999613.21536629,112999805.57079981,112999966.49461019,113000100.55134849,113000212.59237628,112999603.75040023,112999795.76810503,112999956.97267397,113000091.64810885,113000204.47369763,112999594.84038773,112999786.46502179,112999947.86254321,113000083.05811661,113000196.56982914,112999586.43384741,112999777.62418704,112999939.14334603,113000074.77688242,113000188.89155321,112999578.4851898,112999769.21075132,112999930.7931986,113000066.79559498,113000181.44234458,112999570.95404875,112999761.19259721,112999922.79029429,113000059.10300165,113000174.22095284,112999563.80464263,112999753.54032934,112999915.11352043,113000051.68659964,113000167.22310442,112999557.00519343,112999746.22714685,112999907.74278973,113000044.53339127,113000160.44263622
2,2020-04-03,112998640.09265515,112998903.99835764,112999126.46170963,112999312.89207004,112999469.36472338,112998620.0044852,112998884.60198021,112999109.35486048,112999298.9246602,112999458.92107473,112998601.31523456,112998865.97436887,112999092.255148,112999284.17444915,112999446.9270606,112998583.95889236,112998848.26265213,112999075.53478974,112999269.23116429,112999434.17502525,112998567.83181997,112998831.50004624,112999059.37619618,112999254.42372954,112999421.13153367,112998552.82192297,112998815.66514078,112999043.86021797,112999239.93513837,112999408.07642186,112998538.82097146,112998800.71133049,112999029.01230083,112999225.86409454,112999395.17853422,112998525.72940609,112998786.58179048,112999014.82756597,112999212.25952412,112999382.53884645,112998513.4577445,112998773.21715616,112999001.28483364,112999199.14056985,112999370.21593039,112998501.9264711,112998760.55940829,112998988.35462122,112999186.5084954,112999358.24145176,112998491.06529309,112998748.55374321,112998976.00375542,112999174.35392648,112999346.62984084,112998480.812179,112998737.14936264,112998964.1980349,112999162.66132654,112999335.3844521,112998471.11237374,112998726.29968627,112998952.90374905,112999151.41179343,112999324.50155403,112998461.9174754,112998715.96226221,112998942.08851688,112999140.5848158,112999313.97294737,112998453.18460657,112998706.09852771,112998931.72171864,112999130.15937531,112999303.78770056
3,2020-04-04,112997507.63239221,112997828.89343853,112998108.57843181,112998349.42408393,112998556.23015422,112997484.15150608,112997805.3796435,112998087.18741652,112998331.49624756,112998542.52690476,112997462.34324108,112997782.84078111,112998065.84463252,112998312.59417096,112998526.80979013,112997442.12250665,112997761.44898999,112998045.01317436,112998293.47653487,112998510.12319759,112997423.36157893,112997741.23825404,112998024.91700976,112998274.56421809,112998493.08057009,112997405.92414702,112997722.17695636,112998005.65267986,112998256.08939885,112998476.04835245,112997389.67951688,112997704.20374325,112997987.2476202,112998238.17556448,112998459.24632554,112997374.50801723,112997687.24566278,112997969.69176696,112998220.88226835,112998442.80476001,112997360.30245785,112997671.22738764,112997952.95516433,112998204.23101655,112998426.798156,112997346.96784915,112997656.0758202,112997936.99795748,112998188.22064357,112998411.2657574,112997334.42041273,112997641.72225927,112997921.77611828,112998172.8366356,112998396.22433276,112997322.58636425,112997628.10326967,112997907.24472176,112998158.05687043,112998381.6762993,112997311.40068987,112997615.16086543,112997893.3597919,112998143.85518567,112998367.61497074,112997300.80601095,112997602.84233995,112997880.079301,112998130.20360589,112998354.02799009,112997290.75157191,112997591.09992577,112997867.36366569,112998117.0737279,112998340.89959541
4,2020-04-05,112996323.37349723,112996689.05356748,112997015.57532373,112997302.97077493,112997554.41520031,112996297.55554901,112996662.45427579,112996990.77245282,112997281.73610963,112997537.88475762,112996273.60396244,112996636.99199237,112996966.05903235,112997259.37507844,112997518.94426683,112996251.41934869,112996612.85637371,112996941.9698787,112997236.78775012,112997498.85799779,112996230.85644977,112996590.0807851,112996918.76104578,112997214.47133158,112997478.36704746,112996211.76152657,112996568.62491111,112996896.54050133,112997192.69828597,112997457.9126759,112996193.9878266,112996548.41546375,112996875.33626468,112997171.61190976,112997437.75825891,112996177.40136984,112996529.36668079,112996855.13325709,112997151.27975886,112997418.05877839,112996161.88241401,112996511.39068389,112996835.89377242,112997131.7245077,112997398.90183231,112996147.32503435,112996494.40260005,112996817.56905209,112997112.94224389,112997380.33254914,112996133.63594739,112996478.3229302,112996800.10588434,112997094.9135333,112997362.36909038,112996120.7331042,112996463.0784607,112996783.45035526,112997077.61021115,112997345.01248749,112996108.54429185,112996448.60241014,112996767.54994093,112997060.99958664,112997328.25298232,112996097.0058444,112996434.83418751,112996752.35462238,112997045.04705386,112997312.07416345,112996086.06149788,112996421.71896696,112996737.81742223,112997029.71770476,112997296.45568731
5,2020-04-06,112995112.84983249,112995513.51677008,112995878.22296871,112996204.77589247,112996494.82895248,112995085.3699606,112995484.60187565,112995850.74397558,112996180.84877245,112996475.92236128,112995059.89281002,112995456.94650567,112995823.38964735,112996155.67511329,112996454.2760799,112995036.30909479,112995430.75323698,112995796.75075483,112996130.27019463,112996431.33987205,112995014.46132258,112995406.05477594,112995771.10811238,112996105.19309661,112996407.96222563,112994994.1835555,112995382.80412439,112995746.57824238,112996080.74866095,112996384.64706212,112994975.31778036,112995360.9189195,112995723.18925434,112996057.09585558,112996361.69402646,112994957.71997003,112995340.30369708,112995700.92182079,112996034.30831298,112996339.27844256,112994941.26155934,112995320.8610946,112995679.73189358,112996012.40926144,112996317.49848703,112994925.82893005,112995302.49735512,112995659.56351441,112995991.39220339,112996296.40382855,112994911.322106,112995285.12484275,112995640.35609266,112995971.23339896,112996276.01343027,112994897.65321454,112995268.66298209,112995622.04852189,112995951.8995087,112996256.3268303,112994884.7449664,112995253.03837535,112995604.58145934,112995933.3523116,112996237.33140023,112994872.52925903,112995238.1845044,112995587.89852652,112995915.55162291,112996219.00707008,112994860.94593927,112995224.04124023,112995571.94687338,112995898.45708774,112996201.3294287
6,2020-04-07,112993879.50999449,112994308.26700766,112994704.69384454,112995064.65418924,112995388.40146272,112993850.84019874,112994277.58123936,112994675.0793993,112995038.5073235,112995367.4826668,112993824.27113444,112994248.24944049,112994645.6191969,112995011.01678808,112995343.54691036,112993799.68638846,112994220.48395789,112994616.94852677,112994983.29289752,112995318.2014251,112993776.91966696,112994194.31688464,112994589.36777267,112994955.94560155,112995292.38569431,112993755.79625861,112994169.69601503,112994563.00008957,112994929.3062177,112995266.65657632,112993736.1500523,112994146.53196418,112994537.87348124,112994903.54639676,112995241.34421799,112993717.82979599,112994124.72178,112994513.96507518,112994878.74455307,112995216.64092748,112993700.70058008,112994104.160791,112994491.22563155,112994854.92416506,112995192.65359692,112993684.6432542,112994084.74840038,112994469.59333776,112994832.07642268,112995169.43551163,112993669.5530297,112994066.39071193,112994449.00162475,112994810.17388014,112995147.0061065,112993655.33784646,112994049.00148968,112994429.38357238,112994789.17879911,112995125.36347118,112993641.91676517,112994032.50225067,112994410.67433575,112994769.04828702,112995104.4923856,112993629.2184935,112994016.82192317,112994392.81241171,112994749.73746549,112995084.36954191,112993617.1800821,112994001.89630546,112994375.74022317,112994731.20140994,112995064.96696393
7,2020-04-08,112992626.83246897,112993077.83769932,112993500.52046576,112993888.95416753,112994242.08039093,112992597.35738671,112993045.82343638,112993469.21466236,112993860.98385607,112994219.46218506,112992570.05094568,112993015.23547499,112993438.08810003,112993831.59171753,112994193.59431112,112992544.79160532,112992986.29328863,112993407.81121846,112993801.96619368,112994166.2172963,112992521.40685631,112992959.02830309,112993378.6997239,112993772.75891995,112994138.34752323,112992499.71583726,112992933.3842176,112993350.88183458,112993744.32279289,112994110.58646719,112992479.54678468,112992909.26621668,112993324.38529137,112993716.8396926,112994083.28987755,112992460.74341884,112992886.56559376,112993299.18425438,112993690.39177676,112994056.66422364,112992443.16642554,112992865.17207988,112993275.2252338,112993665.00255975,112994030.82357368,112992426.69282132,112992844.97985233,112993252.44166268,112993640.6611815,112994005.82409276,112992411.21448886,112992825.89024036,112993230.7621379,112993617.33702101,112993981.68545488,112992396.63647617,112992807.81269677,112993210.11505154,112993594.98861368,112993958.40438426,112992382.8753269,112992790.66487032,112993190.43113124,112993573.56913325,112993935.96334702,112992369.85755192,112992774.3722291,112993171.64475685,112993553.02976382,112993914.33619171,112992357.5182786,112992758.86747938,112993153.69455872,112993533.32175764,112993893.4918368
8,2020-04-09,112991362.47019961,112991830.63767676,112992274.68589519,112992687.0544987,112993065.4778119,112991332.49740592,112991797.66956055,112992242.07806239,112992657.6183638,112993041.45023194,112991304.736267,112991766.18081973,112992209.66998261,112992626.69890007,112993013.98118632,112991279.06185603,112991736.39587653,112992178.15906033,112992595.54740019,112992984.92199706,112991255.29764134,112991708.34550947,112992147.87264964,112992564.84892474,112992955.35286072,112991233.25881466,112991681.97032714,112992118.94270976,112992534.97357713,112992925.91217929,112991212.77000336,112991657.17148644,112992091.39663209,112992506.11130513,112992896.97680496,112991193.67172883,112991633.83604208,112992065.2061621,112992478.34712443,112992868.76480114,112991175.82188228,112991611.84961791,112992040.31442608,112992451.70443965,112992841.39603594,112991159.09505406,112991591.10256676,112992016.65110216,112992426.17061998,112992814.92891955,112991143.38102427,112991571.49273057,112991994.14098601,112992401.71238518,112992789.38319391,112991128.58301763,112991552.92641844,112991972.70879437,112992378.28518356,112992764.7543346,112991114.61599347,112991535.31846225,112991952.28179106,112992355.83894846,112992741.0227866,112991101.40508214,112991518.59181328,112991932.79114042,112992334.32163236,112992718.15995122,112991088.88420407,112991502.67693138,112991914.17251489,112992313.681358,112992696.13209441
9,2020-04-10,112990095.36571188,112990577.22404128,112991038.89187612,112991471.4227749,112991871.53404754,112990065.05046864,112990543.55235162,112991005.27905121,112991440.81711428,112991846.35201347,112990036.97450684,112990511.39769882,112990971.8810477,112991408.67896374,112991817.57171553,112990011.01098594,112990480.98836741,112990939.41611332,112991376.30973254,112991787.13527732,112989986.98095275,112990452.35487427,112990908.22066101,112991344.42113051,112991756.17515598,112989964.69716176,112990425.43574376,112990878.42961827,112991313.39697894,112991725.35996193,112989943.9819777,112990400.1293304,112990850.07018751,112991283.43365875,112991695.08378334,112989924.67389496,112990376.31970373,112990823.1123256,112991254.61846706,112991665.57412979,112989906.62901899,112990353.88957539,112990797.49661446,112991226.97472574,112991636.95557289,112989889.72037883,112990332.72657382,112990773.14989322,112991200.48839815,112991609.28832006,112989873.83639309,112990312.72604805,112990749.99407521,112991175.12409088,112991582.59213312,112989858.87909946,112990293.79205337,112990727.95108478,112991150.83479835,112991556.8614349,112989844.76242054,112990275.83739717,112990706.94555043,112991127.56787796,112991532.07499012,112989831.41057913,112990258.78321812,112990686.90618733,112991105.26871328,112991508.20217527,112989818.75669889,112990242.5583548,112990667.76641281,112991083.88293928,112991485.20706742
