,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113001128.2630201,113001159.88733877,113001181.44923489,113001196.90744628,113001208.43046556,113001125.36173429,113001157.71358742,113001179.85482813,113001195.77443904,113001207.66973059,113001122.60946468,113001155.59220806,113001178.24057835,113001194.56614201,113001206.78979802,113001120.0061933,113001153.54361406,113001176.64189476,113001193.32947698,113001205.84681743,113001117.545202,113001151.57576677,113001175.07750323,113001192.09138408,113001204.87425193,113001115.21717864,113001149.69025369,113001173.55699319,113001190.86753744,113001203.89257577,113001113.012129,113001147.88539143,113001172.08479756,113001189.6670133,113001202.91451168,113001110.92026365,113001146.1578678,113001170.66238694,113001188.49491185,113001201.94800198,113001108.93238927,113001144.50363149,113001169.28952155,113001187.3538876,113001200.99796353,113001107.04005603,113001142.91837946,113001167.96498503,113001186.24507096,113001200.06735963,113001105.23558521,113001141.39782287,113001166.68702297,113001185.16863766,113001199.15787317,113001103.51203926,113001139.9378286,113001165.45360826,113001184.12416771,113001198.27033952,113001101.86316688,113001138.53448978,113001164.26260254,113001183.11087538,113001197.40503022,113001100.28333922,113001137.18415584,113001163.11185427,113001182.12775832,113001196.5618421,113001098.76748542,113001135.88343936,113001161.99925725,113001181.173695,113001195.7404249
1,2020-04-02,113000853.63334888,113000930.77477211,113000985.42561442,113001025.67485656,113001056.27591091,113000846.96286866,113000925.51694195,113000981.43137361,113001022.7632301,113001054.2830518,113000840.65833546,113000920.40084068,113000977.39659399,113001019.6633945,113001051.98073348,113000834.71583773,113000915.47427654,113000973.40975547,113001016.49638599,113001049.5167678,113000829.11650889,113000910.75475518,113000969.51708177,113001013.33136834,113001046.9790755,113000823.83604187,113000906.24443638,113000965.74174337,113001010.20829293,113001044.42127797,113000818.84904966,113000901.9377339,113000962.09397227,113001007.15004061,113001041.87653881,113000814.13103712,113000897.8253113,113000958.57662466,113001004.16923879,113001039.36542197,113000809.65923056,113000893.8962276,113000955.18834513,113001001.27223563,113001036.90053341,113000805.41285408,113000890.13909832,113000951.92541271,113000998.4614894,113001034.48935471,113000801.37313974,113000886.54271771,113000948.78283773,113000995.73704071,113001032.13602108,113000797.52321564,113000883.09638047,113000945.75502092,113000993.097438,113001029.84246266,113000793.84794393,113000879.79003385,113000942.83615048,113000990.54032806,113001027.6091515,113000790.33374576,113000876.61433399,113000940.02043998,113000988.06283702,113001025.43559803,113000786.96843041,113000873.5606489,113000937.30226766,113000985.66181768,113001023.32068533
2,2020-04-03,113000498.19979805,113000626.06484394,113000719.65369712,113000790.20906277,113000844.79373387,113000487.73724718,113000617.45046851,113000712.90553997,113000785.17727503,113000841.2896763,113000477.87639588,113000609.08778416,113000706.1015371,113000779.82785286,113000837.24569073,113000468.60631432,113000601.05296163,113000699.39078777,113000774.37058823,113000832.92273764,113000459.8932183,113000593.37231813,113000692.85037304,113000768.9248708,113000828.4757751,113000451.695463,113000586.04714999,113000686.51821302,113000763.55923344,113000823.99904212,113000443.97032557,113000579.06630108,113000680.41035333,113000758.31254876,113000819.55058208,113000436.67700675,113000572.4127346,113000674.5304534,113000753.20592456,113000815.16617246,113000429.77784105,113000566.06703581,113000668.87516733,113000748.24963173,113000810.86755322,113000423.23864968,113000560.00928718,113000663.43727171,113000743.44726245,113000806.66744748,113000417.02868974,113000554.22005777,113000658.20751493,113000738.79828691,113000802.57270882,113000411.12042406,113000548.68090147,113000653.17572093,113000734.29965584,113000798.58633916,113000405.4892235,113000543.37458068,113000648.33144899,113000729.9468197,113000794.70880702,113000400.11305705,113000538.28513652,113000643.66438375,113000725.73438317,113000790.93892178,113000394.97219588,113000533.39787485,113000639.16456014,113000721.65652783,113000787.27442084
3,2020-04-04,113000082.42482772,113000261.66124906,113000396.66328199,113000500.57336825,113000582.22929959,113000068.50885077,113000249.75068925,113000387.07247461,113000493.27374385,113000577.06502305,113000055.42195807,113000238.20990841,113000377.41721903,113000485.5227059,113000571.11033592,113000043.14449318,113000227.14170502,113000367.90890075,113000477.62532607,113000564.75117274,113000031.62707716,113000216.57974532,113000358.655818,113000469.75459583,113000558.21635304,113000020.81061113,113000206.52326167,113000349.71037292,113000462.00927493,113000551.6446873,113000010.63522741,113000196.95455588,113000341.09387386,113000454.44490527,113000545.12135768,113000001.04417928,113000187.84810889,113000332.8101242,113000447.09120877,113000538.69859265,112999991.98534988,113000179.17540509,113000324.85311007,113000439.96221043,113000532.40787877,112999983.41163418,113000170.9074918,113000317.21145384,113000433.0623053,113000526.26740874,112999975.28079909,113000163.01631108,113000309.87103613,113000426.38998178,113000520.28674617,112999967.55511881,113000155.47535461,113000302.81655216,113000419.94014964,113000514.46981312,112999960.20093209,113000148.25994307,113000296.03243466,113000413.70561579,113000508.8168385,112999953.18819275,113000141.3472975,113000289.50339407,113000407.67802863,113000503.32564813,112999946.4900462,113000134.71649842,113000283.21472469,113000401.84848468,113000497.99252883
4,2020-04-05,112999620.73830333,112999849.45461537,113000026.2391055,113000164.893371,113000275.4177086,112999603.8546526,112999834.48433854,113000013.87659605,113000155.30479424,113000268.53411192,112999588.00468147,112999820.00136557,113000001.44722168,113000145.13382801,113000260.6031509,112999573.15950097,112999806.13221654,112999989.22283405,113000134.78199019,113000252.14077568,112999559.25484897,112999792.91633168,112999977.34161943,113000124.4762489,113000243.45247708,112999546.21540605,112999780.35005783,112999965.86946669,113000114.34555672,113000234.7231654,112999533.96558024,112999768.40877403,112999954.83219051,113000104.46188904,113000226.06594232,112999522.43412115,112999757.05836162,112999944.2331588,113000094.86325654,113000217.54982764,112999511.55584928,112999746.26124537,112999934.06324315,113000085.5670836,113000209.21613556,112999501.2720323,112999735.97957355,112999924.30656692,113000076.57821606,113000201.08845814,112999491.53014334,112999726.17685251,112999914.94387652,113000067.89382719,113000193.17891347,112999482.28336085,112999716.81873347,112999905.9545327,113000059.50647824,113000185.49214293,112999473.48998548,112999707.87333155,112999897.31768364,113000051.40605354,113000178.02791439,112999465.11285791,112999699.31128833,112999889.01294488,113000043.58099432,113000170.78284293,112999457.11881608,112999691.10569753,112999881.02077901,113000036.01908796,113000163.75154105
5,2020-04-06,112999123.58461405,112999398.47292034,112999616.0812525,112999789.7432887,112999930.01167376,112999104.25763288,112999380.76584351,112999601.11170661,112999777.92631347,112999921.41137783,112999086.13938539,112999363.65733045,112999586.07790522,112999765.40288615,112999911.50930852,112999069.19211237,112999347.2943254,112999571.30833972,112999752.66864534,112999900.95174804,112999053.33821796,112999331.720605,112999556.96884486,112999740.00299047,112999890.12089218,112999038.48814137,112999316.92917255,112999543.13746601,112999727.56398955,112999879.24762124,112999024.55262767,112999302.88854936,112999529.84373826,112999715.43927604,112999868.47274359,112999011.44790901,112999289.55635844,112999517.09014441,112999703.67457913,112999857.8818232,112998999.09758858,112999276.88644557,112999504.86420487,112999692.29029727,112999847.52574854,112998987.43298909,112999264.8326022,112999493.14544384,112999681.29140703,112999837.43326673,112998976.39280908,112999253.35045907,112999481.90946177,112999670.67352435,112999827.61882286,112998965.92249633,112999242.3983797,112999471.13033044,112999660.42667866,112999818.08756992,112998955.9735375,112999231.9378056,112999460.78199545,112999650.53769316,112999808.83862786,112998946.50275785,112999221.93330297,112999450.83908221,112999640.99169789,112999799.8672342,112998937.47167279,112999212.35245192,112999441.27733988,112999631.77309395,112999791.16617891
6,2020-04-07,112998598.94166787,112998915.87489918,112999172.4754907,112999380.61599137,112999550.82426046,112998577.6820862,112998895.79115388,112999155.11788888,112999366.68437721,112999540.55291477,112998557.77441329,112998876.40736565,112999137.70240952,112999351.9315018,112999528.73402904,112998539.17295301,112998857.88758568,112999120.60922487,112999336.94250378,112999516.14119615,112998521.78878218,112998840.27870332,112999104.02910832,112999322.04643019,112999503.23140256,112998505.52043684,112998823.57021938,112999088.05080225,112999307.42873582,112999490.2802188,112998490.26734023,112998807.72417861,112999072.70682204,112999293.19161955,112999477.45526977,112998475.93541113,112998792.69059022,112999057.99844891,112999279.38783439,112999464.85802679,112998462.43904993,112998778.4154793,112999043.90978774,112999266.04031494,112999452.54848732,112998449.70144871,112998764.84507187,112999030.41584946,112999253.15389957,112999440.5602088,112998437.65415303,112998751.9279032,112999017.48726249,112999240.72249153,112999428.9097052,112998426.236325,112998739.61579575,112999005.09303297,112999228.73350999,112999417.60244703,112998415.3939236,112998727.86421923,112998993.20215262,112999217.17069112,112999406.63675988,112998405.07890436,112998716.63231748,112998981.7845156,112999206.01586388,112999396.0063935,112998395.24848233,112998705.88276073,112998970.81141718,112999195.25007758,112999385.70223314
7,2020-04-08,112998053.11058867,112998407.49166153,112998700.6670694,112998942.18605934,112999142.0186126,112998030.38786045,112998385.39932634,112998681.16954398,112998926.28761752,112999130.15179868,112998009.12871614,112998364.09635302,112998661.62311983,112998909.4636021,112999116.50442551,112997989.28079745,112998343.76075216,112998642.4541088,112998892.38254653,112999101.9720212,112997970.74605404,112998324.44152942,112998623.8753092,112998875.41957982,112999087.08308536,112997953.41356078,112998306.12475549,112998605.9846861,112998858.78542005,112999072.15580353,112997937.17380841,112998288.76659346,112998588.8170729,112998842.59556189,112999057.38326791,112997921.9246194,112998272.31027232,112998572.3723524,112998826.90903474,112999042.88196388,112997907.573197,112998256.69491896,112998556.63128501,112998811.75088833,112999028.7204011,112997894.03639412,112998241.86012559,112998541.56459117,112998797.12560995,112999014.93654796,112997881.24019419,112998227.74823225,112998527.13823265,112998783.0253108,112999001.54872262,112997869.1188827,112998214.30536863,112998513.31649601,112998769.43480656,112998988.56254143,112997857.61413915,112998201.48182137,112998500.06378041,112998756.33480841,112998975.97542939,112997846.67415611,112998189.23203866,112998487.34561002,112998743.70394102,112998963.77958858,112997836.25283141,112998177.51444753,112998475.12917824,112998731.52001989,112998951.96397237
8,2020-04-09,112997491.21285987,112997878.18628678,112998205.11975491,112998478.49845126,112998707.24785608,112997467.44025633,112997854.44347852,112998183.74310899,112998460.80187978,112998693.88174629,112997445.2135489,112997831.5663802,112998162.32812904,112998442.08646694,112998678.51752248,112997424.47515492,112997809.74407968,112998141.34149812,112998423.09711294,112998662.16562861,112997405.12010205,112997789.0269178,112998121.01508664,112998404.25099194,112998645.42185538,112997387.03037377,112997769.39777842,112998101.45465758,112998385.78173824,112998628.64438541,112997370.08980942,112997750.80767272,112998082.69678824,112998367.8167865,112998612.05012219,112997354.19022961,112997733.19398904,112998064.73986815,112998350.42068486,112998595.76950747,112997339.23352055,112997716.4899612,112998047.56148693,112998333.62020913,112998579.87888797,112997325.13186505,112997700.62954418,112998031.12839516,112998317.41933616,112998564.42021833,112997311.80715874,112997685.54983322,112998015.40228318,112998301.80836973,112998549.4133628,112997299.19011074,112997671.19215314,112998000.3431454,112998286.76959635,112998534.86393793,112997287.21926811,112997657.50242633,112997985.91122256,112998272.28083141,112998520.76839882,112997275.8400739,112997644.43115565,112997972.06809488,112998258.31765687,112998507.1173827,112997265.00400603,112997631.93320948,112997958.77726357,112998244.85483353,112998493.89792944
9,2020-04-10,112996917.38540033,112997331.99503931,112997689.61216933,112997993.03134635,112998249.69402917,112996892.90972438,112997306.93695062,112997666.61756127,112997973.7160997,112998234.93800573,112996870.03635554,112997282.80760449,112997643.59590334,112997953.2998275,112998217.98341548,112996848.70394234,112997259.80461214,112997621.04851715,112997932.59627847,112998199.9475196,112996828.80265163,112997237.97906739,112997599.22347224,112997912.0604021,112998181.48856568,112996810.20953627,112997217.31103186,112997578.23299795,112997891.94630726,112998163.00177076,112996792.80383693,112997197.74716717,112997558.11493346,112997872.39199302,112998144.72600606,112996776.4732407,112997179.22000152,112997538.86616482,112997853.4667888,112998126.8045178,112996761.11598295,112997161.65790147,112997520.46136013,112997835.19884773,112998109.32077658,112996746.64104784,112997144.99018803,112997502.86368626,112997817.59152636,112998092.32029417,112996732.96753706,112997129.14966024,112997486.03101426,112997800.63335815,112998075.8242382,112996720.0237201,112997114.07371764,112997469.9195224,112997784.30422673,112998059.83810653,112996707.74601077,112997099.70472552,112997454.48576874,112997768.5792307,112998044.357348,112996696.07798263,112997085.98997732,112997439.68785113,112997753.43111727,112998029.37105344,112996684.96947066,112997072.88145153,112997425.48601845,112997738.83181463,112998014.86440396
