,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000617.57982804,113000716.39593637,113000791.56521417,113000849.65764932,113000895.3711673,113000609.15267321,113000709.1802304,113000785.77749002,113000845.27574883,113000892.2878994,113000601.25333318,113000702.20052361,113000779.95581183,113000840.62459955,113000888.73316635,113000593.86592694,113000695.51814547,113000774.22782841,113000835.88760196,113000884.93755844,113000586.95694484,113000689.15231128,113000768.65869847,113000831.16869989,113000881.03780493,113000580.48748218,113000683.10135639,113000763.2797178,113000826.52717435,113000877.11685239,113000574.41865121,113000677.35343209,113000758.10336606,113000821.99630296,113000873.22559641,113000568.71388374,113000671.89205928,113000753.1315496,113000817.59382975,113000869.39523378,113000563.33978197,113000666.69905907,113000748.36026275,113000813.32805836,113000865.64455998,113000558.26629,113000661.7560988,113000743.78228629,113000809.20150407,113000861.98442104,113000553.46655662,113000657.04548934,113000739.38877428,113000805.21313532,113000858.42050247,113000548.91667037,113000652.55057062,113000735.17019443,113000801.35977502,113000854.95511569,113000544.59535469,113000648.25586964,113000731.11688443,113000797.63698874,113000851.58836357,113000540.48366578,113000644.14713341,113000727.21937618,113000794.03965287,113000848.31891209,113000536.5647115,113000640.21129489,113000723.46857855,113000790.56231935,113000845.14450751
1,2020-04-02,112999679.25836514,112999869.71638854,113000023.9558785,113000149.04697755,113000251.26556735,112999664.04416531,112999855.69016942,113000012.04678547,113000139.62149946,113000244.39616844,112999649.85390846,112999842.18463196,113000000.11405255,113000129.64758527,113000236.49452014,112999636.64500403,112999829.31108025,112999988.41833833,113000119.52193269,113000228.07882741,112999624.34513827,112999817.09855466,112999977.08949454,113000109.46726109,113000219.45513,112999612.87439957,112999805.53613393,112999966.18702343,113000099.60875145,113000210.80786487,112999602.15478283,112999794.59405468,112999955.73176366,113000090.01505847,113000202.24910495,112999592.11402111,112999784.234542,112999945.72316581,113000080.72129543,113000193.8465764,112999582.68682098,112999774.41742595,112999936.14899617,113000071.74237616,113000185.64020823,112999573.81491917,112999765.1030306,112999926.99090473,113000063.08098125,113000177.65221493,112999565.44663014,112999756.25360402,112999918.22766182,113000054.73242188,113000169.893399,112999557.53620505,112999747.83395857,112999909.8370465,113000046.68766043,113000162.36717516,112999550.04315372,112999739.81168327,112999901.7969404,113000038.9352094,113000155.07218498,112999542.93159796,112999732.15712805,112999894.08594562,113000031.4623331,113000148.00401928,112999536.16968518,112999724.8432708,112999886.6837158,113000024.25580907,113000141.15636514
2,2020-04-03,112998613.59993057,112998876.51184693,112999098.99251567,112999285.99300088,112999443.31085274,112998593.6240811,112998857.14185868,112999081.8530135,112999271.96303086,112999432.79907775,112998575.04581398,112998838.54511572,112999064.72483079,112999257.14957184,112999420.7285127,112998557.79820982,112998820.8678176,112999047.98069397,112999242.14518099,112999407.89707847,112998541.77712709,112998804.14237751,112999031.8029627,112999227.28016217,112999394.77450621,112998526.87021343,112998788.34671801,112999016.27218692,112999212.73810224,112999381.6424148,112998512.96913184,112998773.43369079,112999001.41341487,112999198.617869,112999368.67061946,112998499.97430976,112998759.34603326,112998987.22134914,112999184.96832028,112999355.96058273,112998487.79630974,112998746.02403012,112998973.67440641,112999171.8084093,112999343.57107244,112998476.3556966,112998733.40938184,112998960.74273151,112999159.139152,112999331.53377588,112998465.58227873,112998721.44706108,112998948.39281525,112999146.95090404,112999319.86304149,112998455.41413713,112998710.08609149,112998936.59015746,112999135.22785684,112999308.56208271,112998445.79663417,112998699.27975109,112998925.30078389,112999123.95084538,112999297.62699522,112998436.68148646,112998688.9854756,112998914.49208178,112999113.0991105,112999287.0493926,112998428.02593341,112998679.16461341,112998904.13322821,112999102.65140349,112999276.81815216
3,2020-04-04,112997474.79937215,112997793.96037796,112998072.83589491,112998313.68938032,112998520.99423428,112997451.50276065,112997770.53993545,112998051.46340348,112998295.73172934,112998507.23972058,112997429.87272136,112997748.09689893,112998030.14416414,112998276.8018292,112998491.46608002,112997409.82341623,112997726.80185927,112998009.34060009,112998257.65984482,112998474.72214428,112997391.22692983,112997706.68777601,112997989.27597946,112998238.72721659,112998457.62380213,112997373.94704871,112997687.72234622,112997970.04619154,112998220.2362031,112998440.53879811,112997357.85332426,112997669.84375657,112997951.67809609,112998202.31012855,112998423.6875477,112997342.82640211,112997652.97875054,112997934.16113487,112998185.00826862,112998407.20056823,112997328.7594374,112997637.05180424,112997917.46493413,112998168.35180706,112998391.15238123,112997315.5577906,112997621.98969935,112997901.54928906,112998152.33924882,112998375.58212365,112997303.13802491,112997607.72366782,112997886.36987993,112998136.95576288,112998360.50638717,112997291.4266821,112997594.19024587,112997871.88153963,112998122.17893139,112998345.9273775,112997280.35905547,112997581.33144616,112997858.04009138,112998107.98232189,112998331.8381836,112997269.87805352,112997569.09457996,112997844.80334127,112998094.33771499,112998318.22622305,112997259.93318756,112997557.4319112,112997832.13156849,112998081.21648881,112998305.07551543
4,2020-04-05,112996293.01079242,112996655.75181358,112996980.50645325,112997267.00705433,112997518.17087157,112996267.4034179,112996629.30457626,112996955.79075372,112997245.80526257,112997501.63737687,112996243.65231793,112996603.99286424,112996931.16858593,112997223.48226014,112997482.69569561,112996221.6578752,112996580.0045416,112996907.17262505,112997200.93691117,112997462.61086278,112996201.27514283,112996557.37206237,112996884.05756405,112997178.665501,112997442.12424846,112996182.35092625,112996536.05468911,112996861.93048184,112997156.9397644,112997421.67710571,112996164.73910215,112996515.97899085,112996840.81880945,112997135.9024145,112997401.53265464,112996148.30633155,112996497.05922344,112996820.70707826,112997115.62053744,112997381.84565051,112996132.93348967,112996479.20761894,112996801.55732664,112997096.11642861,112997362.70343833,112996118.51523,112996462.33946623,112996783.32063338,112997077.38586926,112997344.15089205,112996104.9588022,112996446.37545478,112996765.94368911,112997059.40917787,112997326.2059303,112996092.18264453,112996431.24257086,112996749.37252817,112997042.15798973,112997308.86935954,112996080.11498745,112996416.8742352,112996733.55460742,112997025.5994528,112997292.13121724,112996068.69256736,112996403.21005543,112996718.4399119,112997009.69883125,112997275.97490835,112996057.85948543,112996390.1953975,112996703.98148449,112996994.42111269,112997260.37992568
5,2020-04-06,112995079.2024801,112995476.62736705,112995839.22236703,112996164.5452704,112996454.02202487,112995051.93258741,112995447.87299442,112995811.84483428,112996140.66637881,112996435.12512746,112995026.65555981,112995420.37623273,112995784.59589295,112996115.54688762,112996413.49230029,112995003.26185544,112995394.33782518,112995758.0638729,112996090.20021702,112996390.57310335,112994981.59426536,112995369.78957272,112995732.52809271,112996065.18416516,112996367.21572465,112994961.48737063,112995346.68408109,112995708.1041372,112996040.80264938,112996343.92373297,112994942.78376462,112995324.93887791,112995684.8195241,112996017.21395265,112996320.99640767,112994925.34004156,112995304.45855169,112995662.6545558,112995994.49119137,112996298.60871977,112994909.02823702,112995285.14588374,112995641.56495996,112995972.6572011,112996276.8585189,112994893.73529668,112995266.90730989,112995621.49465181,112995951.70518357,112996255.7951789,112994879.36176525,112995249.65541068,112995602.38298045,112995931.6111681,112996235.4374012,112994865.82024696,112995233.30983578,112995584.16882432,112995912.34163825,112996215.78449422,112994853.03388706,112995217.79741186,112995566.79285632,112995893.85823765,112996196.82362935,112994840.93497789,112995203.05183937,112995550.19873454,112995876.12067881,112996178.534563,112994829.46372499,112995189.01319882,112995534.33365932,112995859.0885296,112996160.89273399
6,2020-04-07,112993843.54287496,112994268.60738178,112994662.43683091,112995020.70382209,112995343.46518177,112993815.09431303,112994238.1033443,112994632.94954202,112994994.62988704,112995322.57588291,112993788.73575117,112994208.95036748,112994603.6202881,112994967.21956606,112995298.67635511,112993764.35057335,112994181.35882306,112994575.08136192,112994939.58026418,112995273.37212689,112993741.77284104,112994155.35988285,112994547.63138716,112994912.32006451,112995247.60149363,112993720.82843629,112994130.90098739,112994521.39247173,112994885.76903625,112995221.92042425,112993701.35192467,112994107.89270969,112994496.39200152,112994860.09797202,112995196.65837303,112993683.19273911,112994086.23222676,112994472.60675281,112994835.38468587,112995172.00709698,112993666.21662721,112994065.81508774,112994449.98730387,112994811.65223245,112995148.07304436,112993650.30505224,112994046.540962,112994428.47176918,112994788.89150192,112995124.90914054,112993635.35379006,112994028.31623809,112994407.99357751,112994767.07483749,112995102.5345272,112993621.2712957,112994011.05496757,112994388.4858521,112994746.16435441,112995080.94705465,112993607.97709791,112993994.67894869,112994369.88382062,112994726.11706124,112995060.13130713,112993595.40032879,112993979.11737959,112994352.1260705,112994706.88801599,112995040.06381679,112993583.47842363,112993964.30631429,112994335.15512578,112994688.43225674,112995020.71647662
7,2020-04-08,112992593.6345403,112993040.69570607,112993460.30009289,112993846.47270547,112994198.03969724,112992564.36786237,112993008.87703612,112993429.15143542,112993818.61071451,112994175.48330665,112992537.25860886,112992978.4799931,112993398.18487097,112993789.3355608,112994149.68845461,112992512.1852653,112992949.72213054,112993368.0672338,112993759.83123958,112994122.39143212,112992488.97584122,112992922.63409582,112993339.11223821,112993730.74670376,112994094.60596284,112992467.45018467,112992897.15940277,112993311.4470142,112993702.4331842,112994066.93177114,112992447.43729092,112992873.20336045,112993285.09873888,112993675.07151069,112994039.72341315,112992428.78162253,112992850.65754515,112993260.04132049,112993648.74317712,112994013.18652509,112992411.34456195,112992829.41204578,112993236.22120503,112993623.47128381,112993987.43458393,112992395.00376597,112992809.36142626,112993213.57187471,112993599.2447216,112993962.52333108,112992379.65169883,112992790.40740524,112993192.02204296,112993576.03273103,112993938.47213574,112992365.19393389,112992772.45981374,112993171.50025724,112993553.79378387,112993915.27750343,112992351.54748796,112992755.43666013,112993151.9374213,112993532.48104127,112993892.92174457,112992338.63929783,112992739.26375006,112993133.26810028,112993512.04570945,112993871.37859908,112992326.40487428,112992723.87410428,112993115.43111166,112993492.43908612,112993850.61691183
8,2020-04-09,112991334.0575762,112991798.66305572,112992239.62425953,112992649.49512047,112993026.00417641,112991304.2322939,112991765.86052358,112992207.16936602,112992620.1793628,112993002.0570336,112991276.61026083,112991734.53238747,112992174.91577105,112992589.38863581,112992974.68177205,112991251.06667279,112991704.90158863,112992143.55743986,112992558.36921826,112992945.7239174,112991227.42545055,112991676.9983935,112992113.41991398,112992527.80324389,112992916.26013406,112991205.50235547,112991650.76338664,112992084.634234,112992498.05907723,112992886.92659391,112991185.12260468,112991626.09794493,112992057.22737835,112992469.32563192,112992858.0987066,112991166.12728597,112991602.88945872,112992031.17097053,112992441.68732078,112992829.99358872,112991148.37481558,112991581.02393472,112992006.40818258,112992415.16721569,112992802.7304835,112991131.74026178,112991560.39211887,112991982.8688339,112992389.75252488,112992776.36739087,112991116.11383565,112991540.89223698,112991960.47791347,112992365.40991738,112992750.92378815,112991101.3991488,112991522.4309628,112991939.1603571,112992342.09486148,112992726.39498685,112991087.51150729,112991504.92346919,112991918.84365755,112992319.75735556,112992702.76133789,112991074.37635207,112991488.2930233,112991899.45920803,112992298.3454452,112992679.99419774,112991061.92788221,112991472.4703759,112991880.9429042,112992277.80736297,112992658.05982214
9,2020-04-10,112990065.33475642,112990544.12092698,112991003.05703506,112991433.31482875,112991831.63145846,112990035.12229675,112990510.56820835,112990969.5588195,112991402.80287518,112991806.51408191,112990007.14480032,112990478.5298932,112990936.27707991,112991370.76516967,112991777.80926782,112989981.27521692,112990448.23308645,112990903.9274697,112991338.4992377,112991747.4545053,112989957.3346564,112990419.7078136,112990872.84500168,112991306.7145068,112991716.57942095,112989935.1360624,112990392.89246646,112990843.16386476,112991275.79342937,112991685.85083164,112989914.50204231,112990367.68545575,112990814.91090138,112991245.93156086,112991655.6616598,112989895.27134973,112990343.97100481,112990788.0559296,112991217.21570724,112991626.23864505,112989877.30034713,112990321.63202628,112990762.53952295,112991189.66890977,112991597.70584671,112989860.4623091,112990300.5563689,112990738.2885886,112991163.2769863,112991570.12313235,112989844.64588417,112990280.63960534,112990715.22515172,112991138.00448528,112991543.51004118,112989829.75332274,112990261.78600937,112990693.27127223,112991113.8043999,112991517.86085492,112989815.69874306,112990243.90859695,112990672.35172531,112991090.62412317,112991493.15425411,112989802.40654717,112990226.92870317,112990652.39537635,112991068.4090978,112991469.3595714,112989789.8100226,112990210.77535018,112990633.33579154,112991047.10503244,112991446.44086853
