,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000145.22016163,113000205.54621536,113000266.72267327,113000325.0126692,113000378.7176754,113000140.97490132,113000200.42336202,113000261.47192578,113000320.24343853,113000374.85963804,113000137.11121263,113000195.58366272,113000256.28627789,113000315.2503883,113000370.4553669,113000133.59708191,113000191.05474913,113000251.27659799,113000310.2376211,113000365.80388181,113000130.39555274,113000186.83392058,113000246.49256343,113000305.31583817,113000361.07935981,113000127.47080706,113000182.90510164,113000241.95189819,113000300.54388358,113000356.38440491,113000124.79034042,113000179.2469892,113000237.65552181,113000295.95105067,113000351.77925134,113000122.32550664,113000175.8370037,113000233.59565593,113000291.54952398,113000347.2984304,113000120.05139704,113000172.65317333,113000229.76025945,113000287.34153238,113000342.9606033,113000117.94647402,113000169.67497808,113000226.13548413,113000283.32355988,113000338.7745234,113000115.99214138,113000166.88366555,113000222.7070341,113000279.48886798,113000334.74273361,113000114.17232789,113000164.2623014,113000219.46090631,113000275.82902388,113000330.86390106,113000112.4731134,113000161.7956908,113000216.38377683,113000272.33483095,113000327.13431229,113000110.88240482,113000159.47024275,113000213.46318308,113000268.99689357,113000323.54884063,113000109.38966069,113000157.2738148,113000210.68758912,113000265.80595522,113000320.10157603
1,2020-04-02,112998898.56943855,112998979.49673909,112999066.21782318,112999153.15887694,112999237.00786042,112998893.1208459,112998972.53540146,112999058.68918008,112999145.97807837,112999230.9393206,112998888.1778311,112998965.98373167,112999051.28261876,112999138.48700082,112999224.03216287,112998883.69522668,112998959.87475112,112999044.15452217,112999130.99380696,112999216.76109949,112998879.62239632,112998954.20051728,112999037.37239102,112999123.66337113,112999209.40085639,112998875.91092098,112998948.93551788,112999030.9577934,112999116.58137968,112999202.1115888,112998872.51723449,112998944.04778808,112999024.90851149,112999109.78872357,112999194.98584001,112998869.40318215,112998939.50421675,112999019.2103091,112999103.30062708,112999188.07535334,112998866.5357534,112998935.27301423,112999013.84330805,112999097.11759394,112999181.40686803,112998863.88652529,112998931.32476759,112999008.78547265,112999091.23180929,112999174.99166837,112998861.43104614,112998927.63278988,112999004.01450437,112999085.63094223,112999168.83147947,112998859.14825271,112998924.17312227,112998999.50884646,112999080.30042495,112999162.92216828,112998857.01995416,112998920.92437384,112998995.24818489,112999075.224821,112999157.25609656,112998855.03038917,112998917.86749472,112998991.21366352,112999070.38864027,112999151.82362926,112998853.1658523,112998914.9855315,112998987.38793854,112999065.77681418,112999146.6141055
2,2020-04-03,112997625.53085603,112997715.38165824,112997814.01396531,112997915.42866784,112998015.69242555,112997619.60156481,112997707.63684118,112997805.42852317,112997907.03199607,112998008.42215522,112997614.22662386,112997700.3578889,112997796.99663788,112997898.28783323,112998000.16033016,112997609.35567175,112997693.57953973,112997788.8951678,112997889.5568333,112997991.47831504,112997604.93268685,112997687.29111917,112997781.19908452,112997881.03058544,112997982.70555508,112997600.90429959,112997681.46269764,112997773.93096879,112997872.80748163,112997974.03298005,112997597.22260436,112997676.05746421,112997767.08647174,112997864.93340057,112997965.56993186,112997593.84572044,112997671.03759347,112997760.64779653,112997857.42429814,112997957.37667023,112997590.7374649,112997666.36694533,112997754.59096926,112997850.27910091,112997949.48350422,112997587.86672024,112997662.01219623,112997748.88978729,112997843.48722059,112997941.90233697,112997585.20674399,112997657.94319133,112997743.51794717,112997837.03299706,112997934.63377422,112997582.73452015,112997654.13291742,112997738.45015772,112997830.8983459,112997927.67157185,112997580.43018727,112997650.55730139,112997733.66268222,112997825.06433567,112997921.005451,112997578.27654892,112997647.19493958,112997729.13355882,112997819.51211774,112997914.62289341,112997576.25866136,112997644.0268114,112997724.84264179,112997814.22346036,112997908.51028925
3,2020-04-04,112996332.76468953,112996427.55266035,112996532.90269826,112996642.72394481,112996752.85808647,112996326.58267702,112996419.38775794,112996523.73487024,112996633.63329642,112996744.87535739,112996320.9803429,112996411.71852818,112996514.73826025,112996624.17497632,112996735.81184141,112996315.90470217,112996404.58068052,112996506.1009378,112996614.73956656,112996726.29644386,112996311.29698133,112996397.96212776,112996497.90191819,112996605.53377187,112996716.69102655,112996307.10126524,112996391.83061913,112996490.1642779,112996596.66307431,112996707.20460802,112996303.26740713,112996386.14678589,112996482.88244484,112996588.1760412,112996697.95628038,112996299.75159538,112996380.87030876,112996476.03662346,112996580.08890507,112996689.01113394,112996296.51599835,112996375.96274284,112996469.60055636,112996572.39957291,112996680.40138796,112996293.52809471,112996371.38869017,112996463.54572617,112996565.09577508,112996672.13912763,112996290.75994582,112996367.11615457,112996457.84360988,112996558.15987176,112996664.22413482,112996288.18751417,112996363.11649954,112996452.46685047,112996551.57170793,112996656.64877747,112996285.79006265,112996359.36422534,112996447.3898203,112996545.31030734,112996649.40109691,112996283.54964149,112996355.83667529,112996442.58884369,112996539.3548654,112996642.46677053,112996281.45065592,112996352.51372749,112996438.04223014,112996533.68531473,112996635.83036193
4,2020-04-05,112995036.36859348,112995134.76534076,112995244.43033028,112995359.45219463,112995475.70534255,112995029.97270139,112995126.3225429,112995234.90994647,112995349.94844985,112995467.29312326,112995024.17305544,112995118.391581,112995225.56946501,112995340.06429446,112995457.74639773,112995018.91552065,112995111.00933921,112995216.60384704,112995330.20804492,112995447.72872922,112995014.13987277,112995104.1633274,112995208.09475522,112995320.59539795,112995437.62147097,112995009.78874055,112995097.82023463,112995200.06579149,112995311.33609113,112995427.64449278,112995005.81062865,112995091.9394053,112995192.51086283,112995302.48034799,112995417.92271727,112995002.16051945,112995086.47920774,112995185.40916431,112995294.04463048,112995408.52410902,112994998.79952033,112995081.39994974,112995178.73323344,112995286.02630545,112995399.48201089,112994995.69418307,112995076.6650881,112995172.45330521,112995278.41216746,112995390.8085989,112994992.81576131,112995072.24159355,112995166.53964494,112995271.1834595,112995382.50314681,112994990.13951334,112995068.09990664,112995160.96375735,112995264.31885068,112995374.55718046,112994987.64408708,112995064.21370672,112995155.69896571,112995257.79619902,112995366.9577278,112994985.31099418,112995060.55960838,112995150.72063789,112995251.59358223,112995359.68938129,112994983.12416679,112995057.11684296,112995146.00621687,112995245.68988197,112995352.73560873
5,2020-04-06,112993723.35544518,112993824.76708008,112993938.05540083,112994057.29593644,112994178.35188808,112993716.79478729,112993816.09041539,112993928.24409418,112994047.46484616,112994169.61019517,112993710.84517604,112993807.93962319,112993918.61905587,112994037.24210627,112994159.69188233,112993705.4512208,112993800.3526063,112993909.38107313,112994027.05008571,112994149.28692208,112993700.55125728,112993793.31653501,112993900.61415103,112994017.11171883,112994138.79160441,112993696.08652294,112993786.79718733,112993892.34247042,112994007.54026893,112994128.43419439,112993692.0042623,112993780.7527954,112993884.55963103,112993998.3874308,112994118.34419838,112993688.25834861,112993775.1405887,112993877.2440937,112993989.66999596,112994108.59190999,112993684.8089257,112993769.9197895,112993870.36747871,112993981.38503344,112994099.2116569,112993681.62171276,112993765.0528552,112993863.89905079,112993973.5187076,112994090.21579918,112993678.66724487,112993760.50585334,112993857.8081198,112993966.05146965,112994081.6033237,112993675.9201595,112993756.24841608,112993852.06528418,112993958.96113412,112994073.36520088,112993673.35856697,112993752.25350282,112993846.64302514,112993952.22469887,112994065.48775978,112993670.96351187,112993748.49708842,112993841.51593797,112993945.81940754,112994057.95482813,112993668.71851929,112993744.95783582,112993836.66076173,112993939.72335091,112994050.74909075
6,2020-04-07,112992402.99020894,112992506.51891352,112992622.40583204,112992744.71280053,112992869.28947082,112992396.32215622,112992497.68391334,112992612.39207175,112992734.65007818,112992860.31207438,112992390.27468707,112992489.38434443,112992602.56905873,112992724.18774429,112992850.127899,112992384.79160148,112992481.65878479,112992593.14163439,112992713.75811723,112992839.44580738,112992379.81030734,112992474.49416198,112992584.19543059,112992703.58925903,112992828.67277832,112992375.27114618,112992467.85562643,112992575.75502616,112992693.79693305,112992818.04308884,112992371.12055147,112992461.7006488,112992567.81380165,112992684.43387927,112992807.6895312,112992367.311683,112992455.98568104,112992560.34970161,112992675.51712501,112992797.6840716,112992363.80406499,112992450.66920558,112992553.33370312,112992667.04353029,112992788.06174786,112992360.56288144,112992445.71299966,112992546.73439105,112992658.99881428,112992778.83505645,112992357.55820562,112992441.0825167,112992540.52040645,112992651.36286798,112992770.0027828,112992354.76427606,112992436.74683975,112992534.66171347,112992644.11290094,112992761.55550294,112992352.1588576,112992432.67843959,112992529.13020438,112992637.2253017,112992753.47904828,112992349.72269477,112992428.85285717,112992523.89993408,112992630.6767228,112992745.75670114,112992347.43905103,112992425.24837026,112992518.94714965,112992624.44469444,112992738.3705874
7,2020-04-08,112991079.05129829,112991184.23366451,112991302.07447967,112991426.65828688,112991553.84384926,112991072.29815908,112991175.2825921,112991291.91564147,112991416.43012507,112991544.69742338,112991066.17232747,112991166.87337424,112991281.95038575,112991405.7964431,112991534.32247722,112991060.61713162,112991159.045165,112991272.38648143,112991395.19665423,112991523.44139443,112991055.56938641,112991151.78479676,112991263.31076507,112991384.86249341,112991512.46881291,112991050.96883874,112991145.05703509,112991254.74814366,112991374.9115301,112991501.64332576,112991046.76137158,112991138.81885721,112991246.69188191,112991365.39727436,112991491.10009196,112991042.89965257,112991133.02619974,112991239.11959171,112991356.33694571,112991480.91228984,112991039.34277312,112991127.6370482,112991232.00182179,112991347.72727697,112991471.11547975,112991036.05553932,112991122.61271876,112991225.306698,112991339.5536894,112991461.72226883,112991033.00769526,112991117.91824567,112991219.002406,112991331.79569156,112991452.73130998,112991030.17319266,112991113.52233495,112991213.05847578,112991324.4300764,112991444.13290732,112991027.52954617,112991109.39712024,112991207.44639473,112991317.43281062,112991435.91254511,112991025.05728127,112991105.51784179,112991202.13984509,112991310.78013624,112991428.0531232,112991022.7394692,112991101.8625093,112991197.11473356,112991304.449193,112991420.5363743
8,2020-04-09,112989757.2350214,112989864.45423155,112989984.2012885,112990110.70683506,112990239.92784762,112989750.34605567,112989855.37105645,112989973.91172494,112990100.34848493,112990230.65711637,112989744.09261845,112989846.83448501,112989963.81633914,112990089.57872272,112990220.14121705,112989738.41784182,112989838.88471277,112989954.12566338,112990078.84247765,112990209.11232327,112989733.25805117,112989831.50884868,112989944.92783244,112990068.37443176,112990197.9906645,112989728.55240759,112989824.67156439,112989936.2482812,112990058.29368845,112990187.01803118,112989724.24620023,112989818.32956867,112989928.08039163,112990048.65449604,112990176.33137946,112989720.29153349,112989812.43845552,112989920.40167512,112990039.4743586,112990166.00485052,112989716.64698115,112989806.95584537,112989913.1824681,112990030.75003414,112990156.07446474,112989713.27688116,112989801.84269354,112989906.39063165,112990022.46682307,112990146.55298488,112989710.15055773,112989797.06369069,112989899.99406742,112990014.60403384,112990137.43903627,112989707.24158734,112989792.58722247,112989893.96202068,112990007.13821988,112990128.72278701,112989704.52714969,112989788.38512729,112989888.26570368,112990000.04509273,112990120.38952385,112989701.98747127,112989784.43237516,112989882.87853815,112989993.30063784,112990112.42191696,112989699.60535601,112989780.70672935,112989877.77618727,112989986.881745,112990104.80145575
9,2020-04-10,112988423.69941181,112988532.54507235,112988654.22672555,112988782.84172887,112988914.29561694,112988416.73652819,112988523.34389824,112988643.79463436,112988772.33393194,112988904.88492715,112988410.41680981,112988514.69640864,112988633.55903234,112988761.4084575,112988894.21016774,112988404.68264484,112988506.64336678,112988623.7334203,112988750.5166462,112988883.01453723,112988399.46955505,112988499.17174673,112988614.40721828,112988739.89659153,112988871.72459812,112988394.71594529,112988492.24578238,112988605.6062756,112988729.66915444,112988860.58579113,112988390.36643103,112988485.82163252,112988597.3239369,112988719.88940868,112988849.73714657,112988386.37253079,112988479.85432026,112988589.53744738,112988710.57515198,112988839.2539352,112988382.69231442,112988474.30091695,112988582.21676937,112988701.72313297,112988829.17273326,112988379.28968818,112988469.1218692,112988575.32934806,112988693.31847273,112988819.50650884,112988376.13360669,112988464.28140552,112988568.84266348,112988685.3402094,112988810.2538789,112988373.1973295,112988459.74749614,112988562.72555278,112988677.76458208,112988801.40487503,112988370.45776378,112988455.49160829,112988556.94884317,112988670.56697206,112988792.94457287,112988367.8949009,112988451.4883811,112988551.48559858,112988663.72303511,112988784.85539109,112988365.4913413,112988447.71528323,112988546.31115286,112988657.20934157,112988777.11854878
